"set","n_genes","source_type","source","defined_in","note","genes"
"Cell cycle G2M (Seurat)",54,"external database","Seurat::cc.genes.updated.2019$g2m.genes","our_analysis/_common.R:83","Same source and same ortholog caveat as the S list.","ANLN, ANP32E, AURKA, AURKB, BIRC5, BUB1, CBX5, CCNB2, CDC20, CDC25C, CDCA2, CDCA3, CDCA8, CDK1, CENPA, CENPE, CENPF, CKAP2, CKAP2L, CKAP5, CKS1B, CKS2, CTCF, DLGAP5, ECT2, G2E3, GAS2L3, GTSE1, HJURP, HMGB2, HMMR, JPT1, KIF11, KIF20B, KIF23, KIF2C, LBR, MKI67, NCAPD2, NDC80, NEK2, NUF2, NUSAP1, PIMREG, PSRC1, RANGAP1, SMC4, TACC3, TMPO, TOP2A, TPX2, TTK, TUBB4B, UBE2C"
"Cell cycle S (Seurat)",43,"external database","Seurat::cc.genes.updated.2019$s.genes","our_analysis/_common.R:83","Tirosh et al. 2016 regev-lab cell-cycle genes, 2019 update, shipped in Seurat. Human symbols; mapped to mouse by babelgene::orthologs via to_mouse() -- the mapping is itself a source of loss, see coverage.","ATAD2, BLM, CASP8AP2, CCNE2, CDC45, CDC6, CDCA7, CENPU, CHAF1B, CLSPN, DSCC1, DTL, E2F8, EXO1, FEN1, GINS2, GMNN, HELLS, MCM4, MCM5, MCM6, MCM7, MRPL36, MSH2, NASP, PCNA, POLA1, POLD3, POLR1B, PRIM1, RAD51, RAD51AP1, RFC2, RRM1, RRM2, SLBP, TIPIN, TYMS, UBR7, UHRF1, UNG, USP1, WDR76"
"CellChatDB (mouse)",NA,"external database","CellChat::CellChatDB.mouse","our_analysis/05_analyses/cellchat.R:22","Ships with the CellChat package; no version pinned.","(fetched at runtime -- not enumerated here)"
"GO Biological Process",NA,"external database","clusterProfiler::enrichGO + org.Mm.eg.db","shiny_app/build_subcluster_enrichment.R, build_fourgroup_enrichment.R","Fetched at runtime from the installed org.Mm.eg.db; no version pinned.","(fetched at runtime -- not enumerated here)"
"MSigDB GTRD TFT",NA,"external database","msigdbr(collection='C3', subcollection='TFT:GTRD')","our_analysis/05_analyses/pathway_msigdb.R:3","Fetched at runtime, so content follows the installed msigdbr / MSigDB release. No version is pinned anywhere in this repo -- see docs/11-confounds-repro.qmd on the missing environment record.","(fetched at runtime -- not enumerated here)"
"MSigDB Hallmark",NA,"external database","msigdbr(species='Mus musculus', collection='H')","our_analysis/05_analyses/pathway_msigdb.R:14","Fetched at runtime, so content follows the installed msigdbr / MSigDB release. No version is pinned anywhere in this repo -- see docs/11-confounds-repro.qmd on the missing environment record.","(fetched at runtime -- not enumerated here)"
"MSigDB KEGG_LEGACY",NA,"external database","msigdbr(collection='C2', subcollection='CP:KEGG_LEGACY')","our_analysis/05_analyses/pathway_msigdb.R:15","Fetched at runtime, so content follows the installed msigdbr / MSigDB release. No version is pinned anywhere in this repo -- see docs/11-confounds-repro.qmd on the missing environment record.","(fetched at runtime -- not enumerated here)"
"App dropdown: Cardiomyocyte",6,"hand-curated (no source recorded)","shiny_app/app.R","shiny_app/app.R:63","Typed into this project with no citation. The individual genes are standard markers, but the selection is not traceable to a published list and cannot be version-checked. Used only to filter the gene dropdowns; it does not feed any score.","Actc1, Myh6, Nppa, Tnni3, Tnnt2, Ttn"
"App dropdown: Cell cycle (G2/M)",24,"hand-curated (no source recorded)","shiny_app/app.R","shiny_app/app.R:63","Typed into this project with no citation. The individual genes are standard markers, but the selection is not traceable to a published list and cannot be version-checked. Used only to filter the gene dropdowns; it does not feed any score.","Anln, Aurka, Aurkb, Birc5, Bub1, Ccnb1, Ccnb2, Cdc20, Cdca2, Cdca3, Cdca8, Cdk1, Cenpa, Cenpe, Cenpf, Cks2, Kif11, Kif23, Mki67, Nusap1, Top2a, Tpx2, Tubb4b, Ube2c"
"App dropdown: Cell cycle (S)",18,"hand-curated (no source recorded)","shiny_app/app.R","shiny_app/app.R:63","Typed into this project with no citation. The individual genes are standard markers, but the selection is not traceable to a published list and cannot be version-checked. Used only to filter the gene dropdowns; it does not feed any score.","Cdc45, Cdc6, Cdca7, Dtl, Gins2, Hells, Mcm2, Mcm4, Mcm5, Mcm6, Mcm7, Pcna, Rrm1, Rrm2, Slbp, Tyms, Uhrf1, Usp1"
