ID,name,Yinit,Ymax,tau,module,genes,data_orient,notes
Clonidine,Clonidine (imidazoline-I1 / alpha2),0,1,1,input,Nisch,direct,Drug. Nisch is 100% detected and FALLS with maturation; Adra2a/b/c are absent from the store so the alpha2 arm is unmeasurable here.
BetaAR,beta-adrenergic tone,0.5,1,1,input,Adrb1,direct,Liu 2019 Sci Transl Med: beta-AR controls CM cytokinesis. Adrb1 RISES with maturation.
Nrg1,Nrg1 / ErbB2,0.3,1,1,input,Nrg1;Erbb2,direct,Erbb2 is P0-enriched (Baniol Fig 6).
IGF1,IGF axis,0.3,1,1,input,Igf2;H19,direct,The P0-enriched Igf2/H19 locus. Igf1 itself is largely non-myocyte here.
MechLoad,mechanical load,0.8,1,1,input,,,The in-vivo vs in-vitro discriminator on mitotic entry.
ROSenv,environmental oxidative stress,0.3,1,1,input,,,Puente 2014 Cell: the oxygen-rich postnatal environment.
Maturation,developmental stage,0.5,1,1,input,,,"hiPSC 0.12 / P0 0.30 / P7 0.55 / P15 0.75 / adult 0.95. Composite anchor: FAO up, Amotl1 down, Tubb2b->Tuba4a."
InVitro,culture flag,0,1,1,input,,,21% O2 and no load. Required to get one drug and three outcomes.
cAMP,cAMP,0,1,1,signaling,Adcy6;Pde4d,excluded,Second messenger; convergence hub for Clonidine (down) and BetaAR (up).
PKA,PKA,0,1,1,signaling,Prkaca,excluded,Activity is cAMP-dependent rather than transcriptional.
ERK,ERK1/2,0,1,1,signaling,Mapk1;Mapk3,excluded,Mitogenic arm; phospho-regulated.
Akt,PI3K / Akt,0,1,1,signaling,Pik3ca;Akt1,excluded,Merged to hold the depth budget.
Autophagy,autophagy,0,1,1,signaling,Map1lc3b;Becn1;Atg7;Sqstm1,direct,Murganti screened 94 autophagy compounds; clonidine's proposed mechanism.
p38,p38 (gamma),0,1,1,signaling,Mapk12,direct,t=+4.49 on the maturation axis. Mapk14 (p38-alpha) goes the OTHER way (t=-1.28) - do not use it.
YAP,YAP / TAZ,0,1,1,signaling,Yap1;Wwtr1,excluded,Localization-controlled; Yap1 mRNA is flat. Qualitative only.
Amotl1,Amotl1,0,1,1,signaling,Amotl1,direct,t=-6.56 - the largest single-gene maturation anchor in the panel.
ROS,reactive oxygen species,0,1,1,stress,,,Integrator: environment OR culture OR fatty-acid oxidation OR unloaded.
DDR,DNA-damage response,0,1,1,stress,Chek1;Timeless;Ung;Msh6,direct,HYPOTHESIS-ONLY. All four genes are FLAT on the maturation axis (t = +0.41/+0.64/-0.14/-0.91); the evidence is Puente 2014 rather than this dataset.
Ccng1,cyclin G1,0,1,1,stress,Ccng1,direct,"t=+1.85, and noncycling > cycling in 4/4 group pairs. G2/M arrest, linked to CM polyploidy."
p21,p21 (Cdkn1a),0,1,1,stress,Cdkn1a,direct,t=+1.55; not in the phase-calling lists.
Glycolysis,glycolysis,0,1,1,metabolic,Slc2a1;Hk1;Hk2;Pfkm;Ldha;Pkm,direct,P0-high. Slc2a1 0.22 -> 0.05.
FAO,fatty-acid oxidation,0,1,1,metabolic,Hmgcs2;Fabp3;Pdk4;Ucp2,direct,The four largest effects in the whole panel (t = +5 to +11). P7-high.
CycD,cyclin D / Cdk4-6,0,1,1,e2f,Cdk4;Cdk6;Ccnd2,direct,Ccnd1 is dropped - 0-25% detection. Ccnd2 is in ~100% of cells.
Rb,Rb (hypophosphorylated),0,1,2,e2f,Rb1,inverse,"TRAP: Rb1 mRNA is 2.8x UP in cycling cells because it is itself an E2F target, while Rb ACTIVITY must be down. Never score naively."
E2F1,E2F1,0,1,1,e2f,E2f1,direct,Activator. Cycling-restricted; flat on maturation.
E2F2,E2F2,0,1,1,e2f,E2f2,direct,t=+2.18 - the only E2F activator that RISES with maturation in cycling cells. The endoreplication candidate.
E2F3,E2F3,0,1,1,e2f,E2f3,direct,t=-0.07 - a free pre-registered NEGATIVE CONTROL. The model must not move it.
E2F6,E2F6,0,1,8,e2f,E2f6,direct,"t=+4.12; the only member expressed in noncycling cells (100% of noncycling P7 vCM). Exit enforcer. Slow tau: the delay is the mechanism."
E2F7,E2F7,0,1,6,e2f,E2f7,direct,t=-0.20 - FLAT on maturation. Must be a separate node from E2F8.
E2F8,E2F8,0,1,6,e2f,E2f8,direct,"t=+2.28. In the S-phase gene list, so circular on the cycling axis but clean on the maturation axis."
E2Frep,E2F repressor pool,0,1,1,e2f,,,Integrator: OR-pool over E2F6/7/8. Semantics - any repressor suffices.
E2Fact,E2F activity,0,1,1,e2f,,,Integrator: activators AND NOT repressors. Closes the delayed negative-feedback loop and holds the depth budget.
CycE,cyclin E / Cdk2,0,1,1,e2f,Ccne1;Ccne2,direct,Both RISE with maturation in cycling cells (t = +2.23 / +2.39) - the G1/S delay Baniol describes at P7.
p27,p27 (Cdkn1b),0,1,1,e2f,Cdkn1b,direct,t=-1.67 - predicted mild decrease.
SPhase,S-phase entry,0,1,1,cellcycle,Cdt1;Mcm2;Pcna;Rrm2,direct,"The PREVALENCE node - the only one that carries how many cells cycle. Calibration target 0.0992 at the hiPSC context."
CycA,cyclin A / Cdk2,0,1,1,cellcycle,Ccna2,direct,t=-0.85 (flat) - a clean comparator for Ect2 and not in the phase lists.
CycB,cyclin B / Cdk1,0,1,1,cellcycle,Ccnb1;Cdk1,direct,Ccnb1 t=-2.12; Ccnb1 is not in the phase lists.
